estadomapa,UNIQUE_AMBIENTE_COUNT,TOTAL_AMBIENTEVALIDO_BY_ESTADO
CHIAPAS,8,1174866
QUINTANA ROO,8,987742
NAYARIT,8,863022
MICHOACAN DE OCAMPO,8,269138
GUERRERO,8,164512
VERACRUZ DE IGNACIO DE LA LLAVE,7,1359662
OAXACA,7,915780
JALISCO,7,858910
YUCATAN,7,856968
SONORA,7,341878
BAJA CALIFORNIA SUR,7,304062
BAJA CALIFORNIA,7,289774
CAMPECHE,7,276836
SINALOA,7,273266
TAMAULIPAS,7,181898
COLIMA,7,169512
TABASCO,6,164796
CIUDAD DE MEXICO,5,514124
MEXICO,5,223890
GUANAJUATO,5,152638
SAN LUIS POTOSI,5,96414
NUEVO LEON,4,292812
PUEBLA,4,87298
QUERETARO,4,81658
HIDALGO,4,54688
ZACATECAS,4,13646
MORELOS,3,194804
CHIHUAHUA,3,98722
DURANGO,3,86724
COAHUILA DE ZARAGOZA,3,85206
AGUASCALIENTES,3,41006
TLAXCALA,3,13974
