exoticainvasora,especievalida,nombrecomun,TOTAL_RECORD
Exótica-Invasora,Passer domesticus,"gorrión casero, gorrión doméstico",202278
Exótica-Invasora,Streptopelia decaocto,"paloma de collar turca, tórtola de collar",151930
Exótica-Invasora,Columba livia,paloma doméstica,138354
Exótica-Invasora,Bubulcus ibis,garza ganadera,111054
Exótica-Invasora,Sturnus vulgaris,estornino pinto,32046
Exótica-Invasora,Myiopsitta monachus,perico monje argentino,22242
Exótica-Invasora,Phasianus colchicus,faisán de collar,1384
Exótica-Invasora,Lonchura malacca,capuchino tricolor,456
Exótica-Invasora,Lonchura punctulata,capuchino pecho escamoso,322
Exótica-Invasora,Streptopelia roseogrisea,paloma de collar africana,68
Exótica-Invasora,Streptopelia chinensis,"paloma ala dorada, paloma de oriente",64
Exótica-Invasora,Molothrus bonariensis,"tordo común, tordo sudamericano",22
