decade,total_unique_projects_by_decade
1750,gbif_2017
1800,gbif_2017
1800,gbif_2019
1800,gbif_2021
1810,E018
1810,gbif_2017
1820,DS003
1820,E018
1820,V009
1820,gbif_2017
1820,gbif_2021
1830,E018
1830,V009
1830,gbif_2017
1830,gbif_2019
1830,gbif_2021
1840,E018
1840,U014
1840,gbif_2017
1850,DS003
1850,E018
1850,JM007
1850,V009
1850,gbif_2017
1850,gbif_2019
1850,gbif_2021
1860,BK073
1860,DS003
1860,E018
1860,JM007
1860,JM018
1860,U014
1860,V009
1860,gbif_2017
1860,gbif_2019
1860,gbif_2021
1870,DS003
1870,E018
1870,U014
1870,V009
1870,gbif_2017
1870,gbif_2019
1870,gbif_2021
1880,BK060
1880,BK073
1880,DS003
1880,E018
1880,JM007
1880,JM024
1880,KE002
1880,LE002
1880,U014
1880,V009
1880,aVerAves
1880,gbif
1880,gbif_2017
1880,gbif_2019
1880,gbif_2021
1890,B144
1890,BK073
1890,DS003
1890,E018
1890,JM007
1890,JM018
1890,KE002
1890,U014
1890,V009
1890,aVerAves
1890,gbif
1890,gbif_2017
1890,gbif_2019
1890,gbif_2021
1900,Arizona Vertebrados
1900,BK073
1900,DS003
1900,E018
1900,JM007
1900,JM018
1900,KE002
1900,U014
1900,V009
1900,aVerAves
1900,gbif
1900,gbif_2017
1900,gbif_2019
1900,gbif_2021
1910,Arizona Vertebrados
1910,BK060
1910,BK073
1910,DS003
1910,E018
1910,JM007
1910,JM018
1910,KE002
1910,U014
1910,V009
1910,aVerAves
1910,gbif
1910,gbif_2017
1910,gbif_2019
1910,gbif_2021
1920,Arizona Vertebrados
1920,B144
1920,BK060
1920,DS003
1920,E018
1920,JM004
1920,JM007
1920,JM018
1920,KE002
1920,L179
1920,U014
1920,V009
1920,aVerAves
1920,gbif_2017
1920,gbif_2019
1920,gbif_2021
1930,Arizona Vertebrados
1930,B144
1930,BK060
1930,BK073
1930,DS003
1930,E018
1930,H160
1930,HK007
1930,JM007
1930,JM018
1930,KE002
1930,KE005
1930,L022
1930,L179
1930,U014
1930,V009
1930,V050
1930,aVerAves
1930,gbif
1930,gbif_2017
1930,gbif_2019
1930,gbif_2021
1940,Arizona Vertebrados
1940,B144
1940,BK060
1940,BK073
1940,DQ039
1940,DS003
1940,E018
1940,H160
1940,JM007
1940,JM018
1940,KE002
1940,KE005
1940,L022
1940,U014
1940,V009
1940,V050
1940,aVerAves
1940,gbif
1940,gbif_2017
1940,gbif_2019
1940,gbif_2021
1950,Arizona Vertebrados
1950,B144
1950,BK003
1950,BK060
1950,BK073
1950,DQ039
1950,DS003
1950,E018
1950,H160
1950,H291
1950,HK007
1950,JM004
1950,JM007
1950,JM018
1950,KE002
1950,KE005
1950,LE002
1950,R006
1950,SI-BMM
1950,U014
1950,V047
1950,V050
1950,Y018
1950,aVerAves
1950,gbif
1950,gbif_2017
1950,gbif_2019
1950,gbif_2021
1960,Arizona Vertebrados
1960,B144
1960,BK003
1960,BK060
1960,BK073
1960,DS003
1960,E018
1960,H160
1960,HK007
1960,JM004
1960,JM007
1960,JM018
1960,JM024
1960,KE002
1960,KE005
1960,L179
1960,LE002
1960,Naturalista
1960,R006
1960,SI-BMM
1960,U014
1960,V009
1960,V047
1960,V050
1960,Y018
1960,aVerAves
1960,gbif
1960,gbif_2017
1960,gbif_2019
1960,gbif_2021
1970,Arizona Vertebrados
1970,B144
1970,BK060
1970,BK061
1970,BK073
1970,DS003
1970,E018
1970,H160
1970,H291
1970,HK007
1970,J086
1970,JF036
1970,JM018
1970,JM024
1970,KE002
1970,KE005
1970,L018
1970,L022
1970,L179
1970,LE002
1970,Naturalista
1970,R006
1970,SI-BMM
1970,U014
1970,V047
1970,V050
1970,Y018
1970,aVerAves
1970,gbif
1970,gbif_2017
1970,gbif_2019
1970,gbif_2021
1980,Arizona Vertebrados
1980,B018
1980,B144
1980,BE009
1980,BK003
1980,BK060
1980,BK061
1980,BK073
1980,DS003
1980,E018
1980,H160
1980,HB016
1980,HB035
1980,HJ022
1980,HK007
1980,JF036
1980,JM004
1980,JM007
1980,JM018
1980,JM024
1980,KE002
1980,KE005
1980,L179
1980,LE002
1980,ME006
1980,Naturalista
1980,R196
1980,R228
1980,U014
1980,V009
1980,V050
1980,aVerAves
1980,gbif
1980,gbif_2017
1980,gbif_2019
1980,gbif_2021
1990,118
1990,Arizona Vertebrados
1990,B002
1990,B010
1990,B115
1990,B116
1990,B144
1990,BE009
1990,BK060
1990,BK073
1990,DQ039
1990,DS003
1990,E018
1990,EJ013
1990,H027
1990,H028
1990,H160
1990,H291
1990,H305
1990,HB016
1990,HB035
1990,HJ006
1990,HJ022
1990,HK007
1990,JF036
1990,JM004
1990,JM007
1990,JM018
1990,JM024
1990,KE002
1990,KE005
1990,L018
1990,L022
1990,L121
1990,L176
1990,L179
1990,L204
1990,LE002
1990,LH002
1990,M099
1990,M142
1990,ME006
1990,Naturalista
1990,Q050
1990,R006
1990,R008
1990,R092
1990,R121
1990,R196
1990,R228
1990,S085
1990,SI-BMM
1990,U014
1990,V002
1990,V050
1990,Y018
1990,Y021
1990,Y042
1990,aVerAves
1990,gbif
1990,gbif_2017
1990,gbif_2019
1990,gbif_2021
2000,118
2000,AS010
2000,AS014
2000,BE009
2000,BK003
2000,BK023
2000,BK060
2000,BK061
2000,BK073
2000,CJ061
2000,DQ013
2000,DQ039
2000,DS003
2000,DT005
2000,DT006
2000,EC019
2000,EJ013
2000,FN004
2000,FQ016
2000,GT012
2000,HB016
2000,HB035
2000,HE011
2000,HJ006
2000,HJ022
2000,HK007
2000,JF036
2000,JM004
2000,JM007
2000,JM018
2000,JM024
2000,KE002
2000,KE005
2000,L022
2000,L176
2000,LE002
2000,ME006
2000,Naturalista
2000,R006
2000,R008
2000,R092
2000,S085
2000,SI-BMM
2000,V050
2000,Y018
2000,Y021
2000,Y036
2000,Y042
2000,aVerAves
2000,gbif
2000,gbif_2017
2000,gbif_2019
2000,gbif_2021
2010,FN004
2010,GT012
2010,GT022
2010,HB016
2010,HB035
2010,HJ006
2010,HK007
2010,HQ008
2010,IE003
2010,JE004
2010,JF036
2010,JM007
2010,JM018
2010,JM024
2010,KE002
2010,KE005
2010,LE002
2010,LE005
2010,LH009
2010,ME006
2010,Naturalista
2010,PJ010
2010,PJ016
2010,PJ029
2010,Z057
2010,aVerAves
2010,gbif
2010,gbif_2017
2010,gbif_2019
2010,gbif_2021
2020,Naturalista
2020,aVerAves
2020,gbif_2021
