estadomapa,TOTAL_ESPECIES_IDENTIFIED,TOTAL_ESPECIES_RECORDS
CHIAPAS,1395,1634936
OAXACA,1392,1479368
VERACRUZ DE IGNACIO DE LA LLAVE,1325,2274666
GUERRERO,986,281114
SONORA,982,832238
JALISCO,973,1535704
TAMAULIPAS,946,324376
SINALOA,924,512172
MICHOACAN DE OCAMPO,909,500808
NAYARIT,904,1589024
BAJA CALIFORNIA,838,1057894
QUINTANA ROO,815,1551284
SAN LUIS POTOSI,812,162302
CHIHUAHUA,780,284414
PUEBLA,779,159040
BAJA CALIFORNIA SUR,766,990006
CAMPECHE,743,427814
YUCATAN,735,1427044
DURANGO,698,231988
MEXICO,696,482534
TABASCO,684,254292
NUEVO LEON,681,522792
COLIMA,677,277322
CIUDAD DE MEXICO,672,1006270
ZACATECAS,669,30042
HIDALGO,657,100472
MORELOS,654,295954
COAHUILA DE ZARAGOZA,620,193814
QUERETARO,609,177194
GUANAJUATO,585,349330
AGUASCALIENTES,386,89188
TLAXCALA,373,35870
